Prefix,Tutorial,Midterm,TakeHome,Final,Assignment
5,34.09,64.38,51.48,52.5,57.14
8,105.49,67.5,99.07,68.33,95.05
8,83.17,30,63.15,48.89,83.7
7,96.06,49.38,105.93,80.56,81.22
8,93.64,95,107.41,73.89,91.32
7,92.58,93.12,97.78,68.06,95
8,102.99,56.25,99.07,50,95.05
7,86.85,60,,56.11,72.85
8,93.1,47.5,18.52,50.83,84.26
7,97.55,51.25,88.89,63.61,90.1
7,90.2,75,91.48,39.72,80.44
6,80.6,74.38,87.59,77.5,86.26
8,103.71,72.5,93.52,63.33,97.16
7,83.53,81.25,99.81,92.22,91.28
8,89.08,44.38,16.91,35.83,84.8
7,95.43,88.12,80.93,90,93.83
8,89.08,47.5,16.91,53.33,84.8
4,102.52,38.75,86.11,49.17,92.01
8,81.85,75,56.11,62.5,55.14
8,82.93,79.38,83.33,91.11,93.04
8,86.21,63.12,72.78,,63.4
8,97.52,63.12,61.11,66.11,75.27
8,76.21,39.38,42.22,34.44,63.78
7,90.2,46.25,91.48,72.22,80.44
7,82.01,74.38,102.59,56.39,53.36
6,95.24,82.5,97.59,92.78,91.28
8,86.65,93.12,85.56,89.17,82.45
8,86.67,69.38,61.11,88.89,75.27
8,94.89,76.25,107.41,85.56,91.32
7,65.18,71.88,90,45.56,91.62
7,102.46,67.5,97.59,63.33,98.58
7,88.57,70,87.59,55,86.26
8,95.64,48.12,72.22,43.33,67.29
7,91.03,101.25,104.26,107.78,98.58
8,95.67,56.25,103.52,64.72,85.42
5,63.39,74.38,93.7,50.83,88.09
6,70.24,52.5,52.41,47.78,95.05
7,57.97,32.5,85.19,51.67,89.89
6,89.64,61.25,90,,90.74
7,94.36,89.38,100.93,85,95
6,58.51,72.5,53.7,68.33,28.14
7,82.67,110,89.81,90.83,95.14
7,112.58,86.25,86.11,83.33,92.01
7,74.66,85,64.07,82.22,86.26
6,34.09,66.88,51.48,55.83,57.14
7,57.32,28.12,77.96,45.56,93.83
8,65.11,44.38,57.41,65.28,68.95
8,98.47,91.25,83.33,72.22,85.01
8,99.99,95.62,105.56,102.22,95.9
8,95.75,61.88,83.33,48.89,92.46
8,88.11,71.88,97.41,65.56,96.73
8,83.17,60.62,63.15,57.78,83.7
7,94.01,99.38,100,95,95.14
7,88.3,90.62,100.93,99.17,98.58
8,102.87,54.37,21.53,36.11,71.79
8,101.68,75,21.53,49.44,71.79
8,106.53,37.5,97.41,28.06,87.93
8,108.97,28.75,87.96,47.78,87.93
8,65.11,40,57.41,78.89,68.95
7,86.85,41.25,60.37,46.67,72.85
8,102.87,41.88,24.77,,71.79
8,97.76,46.25,47.22,60.56,92.02
7,87.56,68.75,77.96,58.33,90.33
7,94.36,90.62,100.93,101.11,95
7,108.71,96.25,99.81,88.89,91.28
8,103.02,93.12,106.48,94.44,97
8,104.18,55,96.85,67.22,93.01
8,100.58,54.37,63.89,63.89,92.02
7,105.57,101.25,104.44,108.89,100.83
8,92.8,51.25,72.78,66.67,80.53
8,97.55,86.25,88.89,90,90.98
8,103.83,92.5,96.85,87.22,93.59
8,100.42,69.38,102.59,83.06,97.33
7,91.31,63.12,83.33,75.56,84.26
8,96.66,52.5,83.33,50,84.26
7,102.19,106.25,94.44,102.78,93.83
8,86.67,70,71.85,80,75.27
8,100.58,73.12,63.89,65.28,92.02
8,103.71,83.75,95.93,78.89,97.16
8,93.68,71.88,42.22,61.39,66.17
