"ISBN";"Código";"Título";"Grados";"Colección";"Año Lanzamiento";"Páginas";"Interior";"Peso";"Tamaño";"Precio";"CodBarras";"Imagen";"Resumen"
"978-987-1565-25-2";"BPL04";"BUENAS PALABRAS 4";4;"BUENAS PALABRAS";2012;0;;;;"$ 0,00";0;0;
"978-987-1565-26-9";"BPL05";"BUENAS PALABRAS 5";5;"BUENAS PALABRAS";2012;0;;;;"$ 0,00";0;0;
"978-987-1565-27-6";"BPL06";"BUENAS PALABRAS 6";6;"BUENAS PALABRAS";0;0;;;;"$ 0,00";0;0;
"978-987-1565-47-4";"BPL07";"BUENAS PALABRAS 7";7;"BUENAS PALABRAS";2014;0;;;;"$ 0,00";0;0;
"978-987-1565-34-4";"CH001";"Cuentos con historieta 1";6;"Cuentos con historieta";2013;0;;;;"$ 0,00";9789871565344;0;
"978-987-1565-35-1";"CH002";"Cuentos con historieta 2";;"Cuentos con historieta";2013;0;;;;"$ 0,00";9789871565351;0;
"978-987-1565-39-9";"CH003";"Cuentos con historieta 3";;"Cuentos con historieta";2013;0;;;;"$ 0,00";9789871565399;0;
"978-987-1565-36-8";"CH004";"Cuentos con historieta 4";;"Cuentos con historieta";2013;0;;;;"$ 0,00";9789871565368;0;
"978-987-24500-6-9";"GT001";"El libro de los gnomos, los gigantes y los duendes";"Patricia Roggio";"Grillo Topo";2009;52;"4 colores";;"15,5cm. x 22,5cm.";"$ 22,00";9789872450069;11;"El volumen se inicia con una aventura de Grillo Topo, el personaje que da nombre a la colección. En este caso, se trata del cuento “Juegos en el jardín”, en el que Grillo Topo relata cómo logró ayudar a sus vecinos, organizando una competencia deportiva entre bichos. Después invita a los chicos a leer algunos cuentos protagonizados por singulares personajes: gnomos, duendes y gigantes.
Se incluyen cuatro cuentos populares en versiones especialmente escritas para los primeros lectores: “El cerro de los años nuevos”, “Juan el cazagigantes”, “Rupelstikin” y “Viaje a la tierra de los gigantes”. Son relatos maravillosos pertenecientes a la tradición literaria universal en los que se manifiestan sus características típicas tan valoradas por chicos y grandes.
El volumen se cierra con una propuesta de juegos en los que, indirectamente, se apela a la comprensión de los cuentos leídos.
Esta cuidada edición tiene en cuenta la edad de los lectores, tanto en el contenido como en la calidad y cantidad de sus ilustraciones, realizadas por Soledad Otero."
"978-987-24500-5-2";"GT002";"La niña de oro";"Elsa Pizzi";"Grillo Topo";2009;48;"4 colores";;"15,5cm. x 22,5cm.";"$ 22,00";9789872450052;12;"El volumen se inicia con una aventura de Grillo Topo, el personaje que da nombre a la colección. En este caso, se trata del cuento “Diez razones para no usar insecticida Topín”, en el que Grillo Topo relata sus peripecias en el jardín en el que vive y luego invita a los chicos a leer uno de sus cuentos favoritos: “La niña de oro”.
“La niña de oro” es una versión del cuento “La ambición del oro”, de Nathaniel Hawthorne, que a su vez se basa en el mito del rey Midas.
La historia, narrada con humor y ternura, presenta a un rey Midas atemporal y humano, y plantea los temas de la codicia, la ambición desmedida y el valor de lo sencillo y cotidiano. El triunfo del amor de Midas por su hija da a la historia un final feliz y aleccionador.
El volumen se cierra con una propuesta de juegos en los que, indirectamente, se apela a la comprensión del cuento leído.
Esta cuidada edición tiene en cuenta la edad de los lectores, tanto en el contenido como en la calidad y cantidad de sus ilustraciones, realizadas por Horacio Gatto."
